experiment,run,round,persona,participation_rate,support_no_action_rate,opposition_rate,neutral_rate,participation_count,support_no_action_count,opposition_count,neutral_count,total_agents
experiment_1,1,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,1,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,1,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,3,ALL,0.5800,0.2600,0.0000,0.1600,29,13,0,8,50
experiment_1,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,1,3,B,0.6286,0.3714,0.0000,0.0000,22,13,0,0,35
experiment_1,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,4,ALL,0.4600,0.3800,0.0000,0.1600,23,19,0,8,50
experiment_1,1,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1,1,4,B,0.4857,0.5143,0.0000,0.0000,17,18,0,0,35
experiment_1,1,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,1,5,ALL,0.2400,0.6000,0.0000,0.1600,12,30,0,8,50
experiment_1,1,5,C,0.5714,0.4286,0.0000,0.0000,4,3,0,0,7
experiment_1,1,5,B,0.2286,0.7714,0.0000,0.0000,8,27,0,0,35
experiment_1,1,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,1,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,1,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,1,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,4,ALL,0.8000,0.0400,0.0000,0.1600,40,2,0,8,50
experiment_1a,1,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1a,1,4,B,0.9714,0.0286,0.0000,0.0000,34,1,0,0,35
experiment_1a,1,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,1,5,ALL,0.2600,0.5800,0.0000,0.1600,13,29,0,8,50
experiment_1a,1,5,C,0.0000,1.0000,0.0000,0.0000,0,7,0,0,7
experiment_1a,1,5,B,0.3714,0.6286,0.0000,0.0000,13,22,0,0,35
experiment_1a,1,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,1,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,1,3,ALL,0.8200,0.0200,0.0000,0.1600,41,1,0,8,50
experiment_2,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,3,B_prime,0.9714,0.0286,0.0000,0.0000,34,1,0,0,35
experiment_2,1,4,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,1,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,4,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,4,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,1,5,ALL,0.6400,0.2000,0.0000,0.1600,32,10,0,8,50
experiment_2,1,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,1,5,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,1,5,B_prime,0.7143,0.2857,0.0000,0.0000,25,10,0,0,35
experiment_2a,1,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,1,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,1,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,1,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2a,1,2,ALL,0.5800,0.0000,0.0000,0.4200,29,0,0,21,50
experiment_2a,1,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,1,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,1,2,B_prime,0.6286,0.0000,0.0000,0.3714,22,0,0,13,35
experiment_2a,1,3,ALL,0.3000,0.0000,0.0000,0.7000,15,0,0,35,50
experiment_2a,1,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,1,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,1,3,B_prime,0.2286,0.0000,0.0000,0.7714,8,0,0,27,35
experiment_2a,1,4,ALL,0.3800,0.0200,0.0000,0.6000,19,1,0,30,50
experiment_2a,1,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,1,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2a,1,4,B_prime,0.3714,0.0000,0.0000,0.6286,13,0,0,22,35
experiment_2a,1,5,ALL,0.1800,0.1200,0.0000,0.7000,9,6,0,35,50
experiment_2a,1,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,1,5,C,0.1429,0.8571,0.0000,0.0000,1,6,0,0,7
experiment_2a,1,5,B_prime,0.2286,0.0000,0.0000,0.7714,8,0,0,27,35
experiment_1,2,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,2,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,2,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,2,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,2,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,2,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,2,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,2,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,2,3,ALL,0.7200,0.1200,0.0000,0.1600,36,6,0,8,50
experiment_1,2,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,2,3,B,0.8286,0.1714,0.0000,0.0000,29,6,0,0,35
experiment_1,2,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,2,4,ALL,0.3400,0.5000,0.0000,0.1600,17,25,0,8,50
experiment_1,2,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1,2,4,B,0.3429,0.6571,0.0000,0.0000,12,23,0,0,35
experiment_1,2,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,2,5,ALL,0.1200,0.7200,0.0000,0.1600,6,36,0,8,50
experiment_1,2,5,C,0.2857,0.7143,0.0000,0.0000,2,5,0,0,7
experiment_1,2,5,B,0.1143,0.8857,0.0000,0.0000,4,31,0,0,35
experiment_1,2,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,2,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,2,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,2,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,2,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,2,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,2,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,2,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,2,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,2,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,2,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,2,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,2,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,2,4,ALL,0.8000,0.0400,0.0000,0.1600,40,2,0,8,50
experiment_1a,2,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1a,2,4,B,0.9714,0.0286,0.0000,0.0000,34,1,0,0,35
experiment_1a,2,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,2,5,ALL,0.2200,0.6200,0.0000,0.1600,11,31,0,8,50
experiment_1a,2,5,C,0.4286,0.5714,0.0000,0.0000,3,4,0,0,7
experiment_1a,2,5,B,0.2286,0.7714,0.0000,0.0000,8,27,0,0,35
experiment_1a,2,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,2,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,2,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,2,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,2,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,2,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,2,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,2,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,2,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,2,3,ALL,0.7800,0.0600,0.0000,0.1600,39,3,0,8,50
experiment_2,2,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,2,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,2,3,B_prime,0.9143,0.0857,0.0000,0.0000,32,3,0,0,35
experiment_2,2,4,ALL,0.2200,0.6200,0.0000,0.1600,11,31,0,8,50
experiment_2,2,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,2,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2,2,4,B_prime,0.1429,0.8571,0.0000,0.0000,5,30,0,0,35
experiment_2,2,5,ALL,0.0000,0.8200,0.0000,0.1800,0,41,0,9,50
experiment_2,2,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,2,5,C,0.0000,1.0000,0.0000,0.0000,0,7,0,0,7
experiment_2,2,5,B_prime,0.0000,0.9714,0.0000,0.0286,0,34,0,1,35
experiment_2a,2,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,2,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,2,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,2,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2a,2,2,ALL,0.5800,0.0000,0.0000,0.4200,29,0,0,21,50
experiment_2a,2,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,2,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,2,2,B_prime,0.6286,0.0000,0.0000,0.3714,22,0,0,13,35
experiment_2a,2,3,ALL,0.3200,0.0000,0.0000,0.6800,16,0,0,34,50
experiment_2a,2,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,2,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,2,3,B_prime,0.2571,0.0000,0.0000,0.7429,9,0,0,26,35
experiment_2a,2,4,ALL,0.3200,0.0200,0.0000,0.6600,16,1,0,33,50
experiment_2a,2,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,2,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2a,2,4,B_prime,0.2857,0.0000,0.0000,0.7143,10,0,0,25,35
experiment_2a,2,5,ALL,0.2000,0.1400,0.0000,0.6600,10,7,0,33,50
experiment_2a,2,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,2,5,C,0.0000,1.0000,0.0000,0.0000,0,7,0,0,7
experiment_2a,2,5,B_prime,0.2857,0.0000,0.0000,0.7143,10,0,0,25,35
experiment_1,3,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,3,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,3,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,3,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,3,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,3,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,3,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,3,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,3,3,ALL,0.5600,0.2800,0.0000,0.1600,28,14,0,8,50
experiment_1,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,3,3,B,0.6000,0.4000,0.0000,0.0000,21,14,0,0,35
experiment_1,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,3,4,ALL,0.3200,0.5200,0.0000,0.1600,16,26,0,8,50
experiment_1,3,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1,3,4,B,0.2857,0.7143,0.0000,0.0000,10,25,0,0,35
experiment_1,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,3,5,ALL,0.2800,0.5600,0.0000,0.1600,14,28,0,8,50
experiment_1,3,5,C,0.2857,0.7143,0.0000,0.0000,2,5,0,0,7
experiment_1,3,5,B,0.3429,0.6571,0.0000,0.0000,12,23,0,0,35
experiment_1,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,3,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,3,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,3,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,3,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,3,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,3,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,3,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,4,ALL,0.7600,0.0800,0.0000,0.1600,38,4,0,8,50
experiment_1a,3,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1a,3,4,B,0.9429,0.0571,0.0000,0.0000,33,2,0,0,35
experiment_1a,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,3,5,ALL,0.2600,0.5800,0.0000,0.1600,13,29,0,8,50
experiment_1a,3,5,C,0.2857,0.7143,0.0000,0.0000,2,5,0,0,7
experiment_1a,3,5,B,0.3143,0.6857,0.0000,0.0000,11,24,0,0,35
