experiment,run,round,persona,participation_rate,support_no_action_rate,opposition_rate,neutral_rate,participation_count,support_no_action_count,opposition_count,neutral_count,total_agents
experiment_1a,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,3,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,3,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,3,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,3,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,3,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,3,3,ALL,0.7800,0.0600,0.0000,0.1600,39,3,0,8,50
experiment_2,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,3,3,B_prime,0.9143,0.0857,0.0000,0.0000,32,3,0,0,35
experiment_2,3,4,ALL,0.3800,0.4600,0.0000,0.1600,19,23,0,8,50
experiment_2,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_2,3,4,B_prime,0.4000,0.6000,0.0000,0.0000,14,21,0,0,35
experiment_2,3,5,ALL,0.1200,0.7200,0.0000,0.1600,6,36,0,8,50
experiment_2,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,3,5,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_2,3,5,B_prime,0.0286,0.9714,0.0000,0.0000,1,34,0,0,35
experiment_2a,3,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,3,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2a,3,2,ALL,0.4800,0.0000,0.0000,0.5200,24,0,0,26,50
experiment_2a,3,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,2,B_prime,0.4857,0.0000,0.0000,0.5143,17,0,0,18,35
experiment_2a,3,3,ALL,0.3200,0.0000,0.0000,0.6800,16,0,0,34,50
experiment_2a,3,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,3,B_prime,0.2571,0.0000,0.0000,0.7429,9,0,0,26,35
experiment_2a,3,4,ALL,0.4200,0.0000,0.0000,0.5800,21,0,0,29,50
experiment_2a,3,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,4,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,3,4,B_prime,0.4000,0.0000,0.0000,0.6000,14,0,0,21,35
experiment_2a,3,5,ALL,0.2800,0.0800,0.0000,0.6400,14,4,0,32,50
experiment_2a,3,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,3,5,C,0.4286,0.5714,0.0000,0.0000,3,4,0,0,7
experiment_2a,3,5,B_prime,0.3143,0.0000,0.0000,0.6857,11,0,0,24,35
experiment_1,4,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,4,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,4,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,3,ALL,0.3600,0.4800,0.0000,0.1600,18,24,0,8,50
experiment_1,4,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,4,3,B,0.3143,0.6857,0.0000,0.0000,11,24,0,0,35
experiment_1,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,4,ALL,0.6000,0.2400,0.0000,0.1600,30,12,0,8,50
experiment_1,4,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1,4,4,B,0.7143,0.2857,0.0000,0.0000,25,10,0,0,35
experiment_1,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,4,5,ALL,0.5000,0.3400,0.0000,0.1600,25,17,0,8,50
experiment_1,4,5,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_1,4,5,B,0.5714,0.4286,0.0000,0.0000,20,15,0,0,35
experiment_1,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,4,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,4,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,4,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,4,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,4,ALL,0.7400,0.1000,0.0000,0.1600,37,5,0,8,50
experiment_1a,4,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_1a,4,4,B,0.8857,0.1143,0.0000,0.0000,31,4,0,0,35
experiment_1a,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,4,5,ALL,0.3400,0.5000,0.0000,0.1600,17,25,0,8,50
experiment_1a,4,5,C,0.4286,0.5714,0.0000,0.0000,3,4,0,0,7
experiment_1a,4,5,B,0.4000,0.6000,0.0000,0.0000,14,21,0,0,35
experiment_1a,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,4,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,4,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,4,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,4,3,ALL,0.1200,0.1200,0.0000,0.7600,6,6,0,38,50
experiment_2,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,3,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2,4,3,B_prime,0.0000,0.1429,0.0000,0.8571,0,5,0,30,35
experiment_2,4,4,ALL,0.2400,0.1000,0.0000,0.6600,12,5,0,33,50
experiment_2,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2,4,4,B_prime,0.1714,0.1143,0.0000,0.7143,6,4,0,25,35
experiment_2,4,5,ALL,0.3200,0.1400,0.0000,0.5400,16,7,0,27,50
experiment_2,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,4,5,C,0.1429,0.8571,0.0000,0.0000,1,6,0,0,7
experiment_2,4,5,B_prime,0.4286,0.0286,0.0000,0.5429,15,1,0,19,35
experiment_2a,4,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,4,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,4,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2a,4,2,ALL,0.6000,0.0000,0.0000,0.4000,30,0,0,20,50
experiment_2a,4,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,4,2,B_prime,0.6571,0.0000,0.0000,0.3429,23,0,0,12,35
experiment_2a,4,3,ALL,0.2400,0.0000,0.0000,0.7600,12,0,0,38,50
experiment_2a,4,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,4,3,B_prime,0.1429,0.0000,0.0000,0.8571,5,0,0,30,35
experiment_2a,4,4,ALL,0.4600,0.0400,0.0000,0.5000,23,2,0,25,50
experiment_2a,4,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,4,C,0.7143,0.2857,0.0000,0.0000,5,2,0,0,7
experiment_2a,4,4,B_prime,0.5143,0.0000,0.0000,0.4857,18,0,0,17,35
experiment_2a,4,5,ALL,0.1800,0.1200,0.0000,0.7000,9,6,0,35,50
experiment_2a,4,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,4,5,C,0.1429,0.8571,0.0000,0.0000,1,6,0,0,7
experiment_2a,4,5,B_prime,0.2286,0.0000,0.0000,0.7714,8,0,0,27,35
experiment_1,5,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,5,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,5,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,5,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,5,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1,5,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,5,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1,5,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,5,3,ALL,0.5200,0.3200,0.0000,0.1600,26,16,0,8,50
experiment_1,5,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,5,3,B,0.5429,0.4571,0.0000,0.0000,19,16,0,0,35
experiment_1,5,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,5,4,ALL,0.4400,0.4000,0.0000,0.1600,22,20,0,8,50
experiment_1,5,4,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1,5,4,B,0.4286,0.5714,0.0000,0.0000,15,20,0,0,35
experiment_1,5,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1,5,5,ALL,0.0400,0.8000,0.0000,0.1600,2,40,0,8,50
experiment_1,5,5,C,0.0000,1.0000,0.0000,0.0000,0,7,0,0,7
experiment_1,5,5,B,0.0571,0.9429,0.0000,0.0000,2,33,0,0,35
experiment_1,5,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,5,1,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,5,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,5,1,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,5,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,5,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,5,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,5,2,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,5,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,5,3,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_1a,5,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,5,3,B,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_1a,5,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,5,4,ALL,0.8200,0.0200,0.0000,0.1600,41,1,0,8,50
experiment_1a,5,4,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_1a,5,4,B,0.9714,0.0286,0.0000,0.0000,34,1,0,0,35
experiment_1a,5,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_1a,5,5,ALL,0.2400,0.6000,0.0000,0.1600,12,30,0,8,50
experiment_1a,5,5,C,0.1429,0.8571,0.0000,0.0000,1,6,0,0,7
experiment_1a,5,5,B,0.3143,0.6857,0.0000,0.0000,11,24,0,0,35
experiment_1a,5,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,5,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2,5,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,5,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,5,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2,5,2,ALL,0.8400,0.0000,0.0000,0.1600,42,0,0,8,50
experiment_2,5,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,5,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,5,2,B_prime,1.0000,0.0000,0.0000,0.0000,35,0,0,0,35
experiment_2,5,3,ALL,0.2400,0.2600,0.0000,0.5000,12,13,0,25,50
experiment_2,5,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,5,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,5,3,B_prime,0.1429,0.3714,0.0000,0.4857,5,13,0,17,35
experiment_2,5,4,ALL,0.4400,0.1200,0.0000,0.4400,22,6,0,22,50
experiment_2,5,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,5,4,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2,5,4,B_prime,0.4286,0.1714,0.0000,0.4000,15,6,0,14,35
experiment_2,5,5,ALL,0.1200,0.3600,0.0000,0.5200,6,18,0,26,50
experiment_2,5,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2,5,5,C,0.1429,0.8571,0.0000,0.0000,1,6,0,0,7
experiment_2,5,5,B_prime,0.1429,0.3429,0.0000,0.5143,5,12,0,18,35
experiment_2a,5,1,ALL,0.1400,0.0000,0.0000,0.8600,7,0,0,43,50
experiment_2a,5,1,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,5,1,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,5,1,B_prime,0.0000,0.0000,0.0000,1.0000,0,0,0,35,35
experiment_2a,5,2,ALL,0.6000,0.0000,0.0000,0.4000,30,0,0,20,50
experiment_2a,5,2,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,5,2,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,5,2,B_prime,0.6571,0.0000,0.0000,0.3429,23,0,0,12,35
experiment_2a,5,3,ALL,0.2200,0.0000,0.0000,0.7800,11,0,0,39,50
experiment_2a,5,3,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,5,3,C,1.0000,0.0000,0.0000,0.0000,7,0,0,0,7
experiment_2a,5,3,B_prime,0.1143,0.0000,0.0000,0.8857,4,0,0,31,35
experiment_2a,5,4,ALL,0.4000,0.0200,0.0000,0.5800,20,1,0,29,50
experiment_2a,5,4,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,5,4,C,0.8571,0.1429,0.0000,0.0000,6,1,0,0,7
experiment_2a,5,4,B_prime,0.4000,0.0000,0.0000,0.6000,14,0,0,21,35
experiment_2a,5,5,ALL,0.1800,0.0800,0.0000,0.7400,9,4,0,37,50
experiment_2a,5,5,A,0.0000,0.0000,0.0000,1.0000,0,0,0,8,8
experiment_2a,5,5,C,0.4286,0.5714,0.0000,0.0000,3,4,0,0,7
experiment_2a,5,5,B_prime,0.1714,0.0000,0.0000,0.8286,6,0,0,29,35
